id,age,visits,totalspend
5613,35,5,175.93
7334,55,2,115.11
4314,52,4,217.32
1400,34,4,192.45
7988,59,2,106.31
3322,41,4,157.1
2299,67,3,123.88
3092,16,3,61.67
7661,29,1,31.67
5244,34,6,258.85
2067,57,4,213.52
6797,50,3,167.44
7465,19,2,39.77
3504,30,3,109.51
5216,22,4,111.39
6921,34,9,268.19
5504,38,6,209.05
3159,44,4,159.75
2680,34,5,205.03
5560,37,4,140.85
7521,27,8,197.9
6841,37,3,81.73
3355,78,2,84.69
2000,33,3,91.61
7294,23,4,133.38
7460,21,9,234.04
3755,56,4,226.16
1762,36,7,356.94
6272,30,1,33.25
3006,35,10,356.75
1005,31,7,258.32
5962,38,4,109.03
4035,37,6,184.99
5594,58,2,102.42
7605,60,2,87.82
1288,23,8,230.56
1239,66,1,52.86
6625,52,4,222.65
5960,19,1,19.33
6778,53,2,107.71
4861,28,5,141.04
5217,27,4,139.12
5020,54,2,100.69
1179,30,1,37.22
4615,17,3,46.41
4131,29,3,85.91
6025,30,5,213.9
3448,22,3,68
6239,24,5,158.83
3106,28,6,143.32
2047,25,10,328.76
1924,60,2,84.69
4197,45,5,196.85
3982,25,8,218.05
7157,35,6,306.36
7034,28,2,57.69
2807,58,3,165.57
6462,23,2,57.57
7475,19,3,69.56
4483,27,3,80.71
2494,32,8,315.8
6914,36,7,194.35
1818,43,7,267.95
2071,55,3,162.16
2578,20,6,164.12
7798,26,4,86.79
2556,39,7,265.27
2413,18,2,45.99
3867,25,7,196.45
6381,27,6,194.81
7485,30,8,284.18
3807,21,3,86.74
5095,18,2,42.93
1706,34,3,79.37
3726,38,5,242.08
6117,62,1,42.32
3722,34,4,163.57
7128,37,6,113.73
7500,50,2,108.65
1534,30,10,372.44
2967,37,4,155.29
7119,32,6,164.09
3365,71,1,45.45
6803,28,5,133.04
6353,51,2,103.98
3302,30,4,158.04
2803,26,4,111.63
5636,58,4,214.84
6316,58,3,163.32
1739,21,4,123.67
2638,45,4,180.61
5294,38,7,250
7927,59,4,226.31
3677,39,11,463.18
7851,38,9,311.07
4089,19,3,57.7
5724,28,2,52.25
1090,35,6,233.71
6677,47,5,203.2
5065,28,6,180.16
1421,39,2,83.78
5787,52,3,171.44
3495,37,4,151.28
5221,34,3,89.03
3472,35,8,310.25
6295,26,2,53.07
5082,70,1,43.38
1912,37,5,187.03
4464,43,3,134.74
5776,16,2,39.86
7458,18,1,14.22
3700,37,5,204.74
7469,39,3,121.15
7463,35,5,181.37
3379,36,9,397.39
3214,20,5,168.92
4697,22,4,124.83
6545,32,5,231.84
7555,57,4,212.14
5871,39,3,102.65
2108,32,3,124.31
5545,33,4,167.95
4571,43,2,86.51
7876,60,2,94.35
2294,19,2,33.72
5319,34,8,284.8
2371,20,6,170.44
1740,22,7,210.46
5630,30,7,191.78
6567,18,1,19.48
5512,29,4,120.4
3644,57,2,108.56
2478,36,7,222.52
4813,17,2,42.83
7707,28,3,90.79
1575,24,4,121.4
2895,44,4,160.41
5795,20,2,65.65
3819,33,9,358.1
1049,53,3,161.54
6110,39,3,121.94
6783,42,3,147.12
1557,75,3,145.06
2484,55,1,56.24
2770,35,7,218.55
4213,48,2,76.89
5897,34,8,254.23
6975,28,3,84.22
5170,36,10,392.15
2425,35,6,264.98
6576,31,4,171.02
4916,26,5,166.24
1690,23,2,59.89
4455,39,7,303.93
4030,29,5,146.09
3067,28,7,177.19
2677,46,6,269.88
3556,26,6,194.29
6076,34,7,300.56
3301,19,4,76.99
1723,39,10,441.81
3209,33,7,236.38
4276,27,7,177.13
5550,20,3,95.68
4412,38,7,239.7
4852,20,2,55.45
6053,37,4,134.68
3490,30,5,159.05
7256,35,3,122.16
1649,62,1,49.38
5889,17,2,30.39
4817,24,3,85.89
6743,29,5,133.16
6097,28,8,210.74
5576,37,10,400
6345,44,5,220.54
5353,33,2,91.46
2215,24,4,122.61
4245,31,6,181.95
5201,31,6,265.55
7498,55,3,157.11
3071,56,3,177.4
1247,30,9,352.65
1368,27,4,115.26
2511,37,7,276.05
7065,50,4,226.33
7459,30,8,293.96
7349,32,7,268.48
5199,56,3,169.56
3316,19,1,21.91
7615,31,5,176.22
7305,36,4,125.77
3337,38,8,238.43
4023,39,7,289.09
5520,16,2,38.53
1985,35,4,147.88
7291,76,1,43.31
7827,31,10,421.83
5378,37,5,188.92
6742,29,3,86.65
6402,22,7,202.65
4815,51,3,167.03
2292,43,2,85.7
6910,20,2,67.16
2664,16,3,62.97
1130,39,6,250.68
3717,22,3,87.8
2466,47,5,203.25
5445,30,7,272.12
4385,38,6,198.12
3954,29,5,149
3880,74,3,164.12
3349,29,5,153.14
1931,30,4,133.76
3802,34,5,171.62
7560,31,4,113.82
2359,69,2,81.79
6583,37,7,300.49
3580,21,10,268.77
7287,28,2,63.94
5967,37,3,109.59
6178,32,8,355.87
5149,53,2,115
4588,39,10,391.49
6686,44,3,125.48
1306,53,3,168.53
6927,30,8,262.88
1577,57,5,275.01
5129,27,4,123.52
6286,31,3,111.45
4734,37,6,203.75
2855,32,10,339.48
7476,20,4,115.88
7817,20,4,137.7
4239,28,3,97.58
7279,76,4,167.98
5222,31,5,168.71
5919,30,7,301.27
7063,36,8,238.99
2483,27,5,149.17
6201,32,7,231.18
1887,42,3,122.72
4354,47,1,40.11
2376,37,6,196.13
7090,31,5,190.79
6306,38,8,311.51
1679,31,3,101.17
4783,17,2,44.52
7224,21,4,138
3931,48,7,293.89
2325,45,3,123.05
7001,37,6,167.32
4634,47,8,324.22
7784,16,3,66.58
6557,19,2,40.62
2498,25,4,116.98
1838,38,5,146.5
1420,36,6,217.34
3212,39,7,247.35
5507,52,3,161.86
7308,39,7,211.74
7931,26,2,56.82
3665,24,8,235.56
3145,27,10,327.28
6164,39,4,152.36
5431,31,6,233.41
2379,23,7,220.43
5279,33,6,258.73
2236,33,4,130.32
1471,26,7,219.99
1831,26,5,130.96
1891,38,5,176.68
2390,34,9,195.18
7467,35,4,140.68
1187,58,5,289.68
2443,17,2,36.59
6690,37,7,314.37
3653,46,5,212.8
1726,24,3,102.01
3402,38,8,319.91
1139,25,4,141.62
3475,33,3,106.94
1559,72,2,94.82
7341,22,3,91.76
3404,35,3,122.11
1888,48,3,132.87
6747,66,1,41.24
6510,24,7,245.07
4007,35,4,170.3
6918,58,4,226.13
2200,51,3,153.49
3435,30,8,275.57
3035,36,5,166.32
3167,35,5,191.27
4636,22,2,59.31
2830,33,4,146.97
4382,34,5,247.83
2458,70,2,92.48
5365,23,6,198.73
5432,22,7,231.14
5858,25,6,162.17
4465,32,2,80
2520,26,6,161.45
2625,28,3,88.62
7886,28,9,279.34
3360,20,9,236.45
1625,31,6,215.54
2956,31,4,100.91
5546,37,7,301.37
1715,25,7,206.89
4294,19,2,50.6
6726,18,4,81.36
7083,39,7,205.81
4775,24,3,108.61
2834,33,8,366.75
5194,27,5,109.45
7697,25,9,306.41
3836,39,4,129.23
4365,27,4,134.74
7298,32,1,38.09
5882,46,8,334.55
5933,29,5,143.39
4640,31,10,314.06
3599,56,4,224.45
7435,35,5,216.76
1949,21,7,218.64
6142,31,4,120.86
1100,51,3,162.25
1750,30,8,318.77
5052,34,10,411.87
7779,35,5,194.66
6199,24,2,55.19
5024,56,4,211.14
2464,34,5,151.93
1392,28,4,110.29
1370,32,6,258.61
3357,32,7,163.46
2935,31,4,154.72
3390,18,2,36.24
6733,34,9,257.04
1474,71,3,121.28
2279,28,11,308.91
1432,56,6,362.02
6816,28,3,75.58
6002,28,2,66.12
6862,21,4,132.39
5103,34,7,202.72
5604,32,5,213.29
7329,32,6,243.32
7274,49,3,123.37
5895,20,7,198.04
5932,22,3,69.38
2929,51,1,58.09
7938,33,9,367.02
6436,55,7,399.99
4854,36,8,368.5
1620,55,2,112.52
3776,21,7,211.49
6085,18,3,66.98
3763,32,4,90.7
6955,39,7,244.95
5384,27,3,99.89
7971,56,3,166.04
2877,37,6,240.02
6993,22,2,53.43
1670,37,6,260.02
5697,17,1,14.82
4917,50,1,55.19
5385,36,5,149.77
2627,68,1,41.68
3964,16,5,102.23
5890,20,9,255.83
1752,32,10,433.53
1106,35,6,167.35
7997,27,5,183.09
2150,77,2,90.98
5586,34,6,169.49
2392,48,5,207.31
4389,32,4,113.75
4031,30,6,277.84
4027,64,2,96.15
2930,16,7,161.17
7211,38,5,184.26
6080,65,1,37.3
4650,31,8,288.43
4909,44,4,157.38
1272,30,8,223.16
6088,24,5,154.16
4383,26,6,197.1
5480,19,4,82.76
1365,18,1,20.87
1171,54,1,53.68
7333,56,1,54.66
3597,25,6,193.16
3699,28,2,61.97
7859,54,4,215.6
2712,50,4,235.36
4166,78,2,92.83
5778,29,4,131.73
5809,35,4,109.02
5389,45,3,124.9
7509,23,5,160.72
5390,20,4,126.08
1800,40,2,77.24
4377,37,10,382.51
3298,34,7,262.96
7084,18,4,83.04
3589,26,3,91.34
6198,35,5,194.02
5782,34,7,312.42
1359,77,3,137.75
3046,33,7,234.98
5227,17,4,87.9
2282,45,7,284.63
5988,37,5,174.01
1840,51,7,376.79
3777,17,3,57.55
5295,26,4,123.89
5042,59,5,259.93
4972,34,8,234.48
5869,31,8,253.51
2148,21,9,276.08
5231,34,3,112.32
3660,49,3,140.28
6323,26,7,195.11
5775,47,5,203
5437,37,6,255.98
2661,21,7,212.28
1460,41,4,170.58
7691,33,8,263.56
7810,38,3,115.45
2300,35,8,275.53
4628,32,5,159.92
6748,56,3,161.15
7221,37,9,392.52
6612,23,6,166.7
7566,38,5,141.84
7064,32,3,94.78
4379,30,4,141.27
1820,32,5,187.92
3797,28,5,160.53
6193,24,4,108.89
4930,65,2,86.84
7371,16,1,21.53
2305,54,1,59.52
2169,39,6,199.31
7336,28,3,92.13
5984,40,4,185.35
5524,33,9,345.35
1712,34,6,261.93
5054,41,6,246.39
3487,39,5,203.38
3224,33,7,262.19
1927,25,3,94.11
6896,44,4,162.58
2787,20,4,123.43
2612,21,5,150.99
4549,27,2,69.05
1489,24,5,168.06
1814,34,6,184.43
7968,34,4,151.93
6982,31,8,255.51
4134,35,4,152.61
4137,51,1,54.93
3885,43,4,154.77
1886,35,9,397.13
4323,20,4,97.02
3828,23,5,160.24
2449,27,3,98.54
7916,24,9,303.51
4148,30,8,260.05
1473,27,4,127.16
6099,31,10,423.04
4539,31,2,100.36
1828,31,6,191.6
3109,37,7,286.65
7155,50,3,168.58
2579,33,9,356.85
2901,45,5,225.8
3306,37,7,253.83
1558,48,5,200.43
7966,20,5,192.42
6443,34,3,87.97
1827,18,5,95.75
4168,33,3,96.94
2831,48,8,330.16
3158,26,6,202.78
4004,32,6,185.65
3485,39,5,174.78
5956,37,7,237.56
7623,31,10,298.68
7503,16,2,36.06
6039,38,4,147.26
4335,28,3,88.91
6822,32,7,257.04
3648,34,6,206.07
1353,33,6,200.43
4099,37,6,221.76
7564,20,3,97.39
7601,53,2,109.75
3165,22,3,73.85
3995,33,6,241.41
7245,21,8,252.83
7506,31,4,136.51
3353,33,5,203.38
1778,33,5,182.3
4403,73,2,97.64
3173,35,7,196.13
3581,73,2,81.1
2889,25,2,52.16
3841,20,2,58.26
4691,30,8,283.21
5881,19,3,54.46
1120,18,3,61.84
1045,39,7,305.24
1733,26,11,308.15
7944,30,5,155.35
4003,29,6,173.56
5108,49,3,139.4
3242,22,7,261.7
3535,16,6,103.56
1424,32,6,219.03
1426,23,6,186.13
3817,16,4,95.1
1444,47,3,121.78
2207,41,6,267.79
1309,38,8,220.82
5916,55,6,315.13
1499,39,6,231.12
6404,26,2,54.87
1083,60,1,48.09
6032,25,8,246.74
1953,36,6,257.3
7758,35,7,292.91
2302,25,5,154.38
1128,38,4,128.46
2703,26,5,152.47
1133,28,4,115.67
3842,20,6,190.25
3823,36,4,150.18
7673,59,4,216.59
5728,33,6,194.7
7131,29,3,82.5
2307,42,3,121.55
6728,61,2,87.71
2555,36,5,236.74
7725,63,1,45.49
1242,32,7,174.08
2997,24,5,125.96
1708,74,1,41.71
4711,28,4,121.09
3430,55,2,109.45
1403,17,2,42.61
1407,38,5,180.24
6616,31,4,115.6
3646,20,4,111.25
2426,18,2,39.34
3981,68,4,168.86
2873,25,4,130.4
2817,19,4,75.42
1722,37,6,216.42
1604,49,3,127.02
2962,30,6,221.53
4585,17,4,84.9
6506,17,2,45.3
7979,19,1,19.69
4112,77,1,39.66
1632,18,5,98.54
4157,38,9,342.64
1731,49,4,163.46
1929,25,3,82.46
2698,40,2,86.96
3464,70,1,49.87
6158,64,4,201.05
4017,38,6,179.48
2580,56,3,162.97
1281,58,4,225.84
4143,16,2,39.76
6564,36,3,122.34
3564,45,2,78.18
5757,26,2,59.03
6528,35,4,136.88
4998,26,5,152.1
4149,76,2,93.33
4901,34,4,134.57
4584,43,3,128
3529,25,11,323.6
6413,53,5,276.34
4182,57,3,172.22
6367,23,6,175
2170,30,5,165.86
2035,21,6,149.77
1674,39,3,110.35
4670,39,7,240.43
6520,57,3,166.56
4346,33,9,358.7
6156,28,5,150.98
2923,31,6,221.63
6435,23,3,88.66
5157,26,5,146.24
2114,25,4,97.93
5372,26,3,95.62
3778,33,8,343.41
4973,36,6,231.97
3285,31,8,235.63
3679,18,3,67.85
2840,36,6,240.66
2706,39,4,137.58
7705,37,8,302.49
3174,26,10,299.94
1698,57,1,55.94
3415,34,10,344.92
1765,19,3,65.5
1208,32,4,129.58
6615,27,7,192.22
1330,23,3,73.11
4044,35,7,249.81
7576,21,4,105.11
3096,36,4,199.09
5652,23,2,58.37
3925,30,5,193.54
6311,40,3,117.53
3413,37,2,72.47
6227,50,7,387.14
7802,48,3,117.08
3396,34,9,256.35
7237,30,5,152.83
7647,36,10,319.75
5898,29,6,211.35
5232,21,4,133.74
6249,43,1,39.35
5580,17,2,40.52
1459,19,4,86.86
6084,33,5,225.41
1511,21,9,299.29
3571,22,6,195.18
3143,17,3,59.97
2437,26,5,147.92
7466,37,4,165.75
6258,29,6,183.84
3439,30,5,155.38
6309,19,1,19.16
5624,16,6,113.64
3502,32,5,165.23
4024,36,5,209.68
5563,38,7,178.19
1146,35,6,189.82
5667,16,3,70.67
1970,23,4,131.57
1438,19,2,44.02
6527,31,3,80.07
2781,35,5,165.89
1470,17,3,70.58
4969,66,4,201.79
1088,18,6,104.96
1166,64,1,42.59
1788,26,8,276.07
6112,48,3,127.09
7770,22,5,147.97
4618,27,6,189.74
7833,30,4,131.98
1677,38,6,228.4
3851,52,3,170.29
7277,56,2,112.86
7540,57,2,115.19
3966,35,7,297.39
3539,36,8,273.73
3695,27,4,107.88
2197,35,6,206.49
7441,42,7,272.36
6973,33,4,158.18
3438,56,3,168.26
7126,33,3,107.97
4790,60,2,82.96
5498,46,1,38.63
6591,28,3,90.66
7612,26,3,98.96
3948,38,5,177.63
5160,29,6,201.94
4273,37,9,301.45
6635,39,9,258.12
4434,17,2,39.82
3304,29,3,100.61
1048,40,4,154.46
5990,24,5,150.26
4065,32,5,224.87
7029,38,9,308.78
1127,30,6,225.8
4760,31,3,81.89
4837,38,11,371.32
4653,37,8,345.88
7379,57,3,166.83
5702,19,4,76.37
6207,45,2,86.3
5088,29,12,332.42
4612,36,4,135.4
1717,26,5,146.85
6874,24,5,134.6
5783,17,4,62.97
6001,53,2,108.39
2799,18,2,37.2
2088,35,7,299.49
4978,39,6,214.89
7879,40,2,101.84
7663,32,8,273.75
2570,26,6,150.26
6492,28,6,213.58
6923,19,2,37.14
2061,33,11,357.16
4262,38,10,344.37
7453,22,2,55.6
2943,16,5,113.24
7364,34,3,116.03
3211,49,2,81.59
4976,34,8,282.54
5677,35,5,198.29
2657,30,8,282
4303,33,4,145.43
7286,41,4,157.61
6129,27,3,97.08
2358,34,6,168.28
7070,47,2,104.14
7181,58,3,165.78
6377,29,3,87.76
4208,30,1,36.51
7535,42,3,125.59
4523,22,5,152.04
7771,50,1,56.38
1451,28,4,125.71
6215,54,1,54.64
7719,51,4,227.91
3324,60,1,39.59
4203,23,6,181.66
7440,20,5,150.93
1597,54,2,108.34
4902,48,3,129.81
6535,68,2,89.13
6240,44,2,85.35
5663,64,2,96.93
1236,36,7,255.89
3705,34,6,169.99
1646,51,5,265.15
1448,37,6,193.47
7089,33,3,121.82
7764,38,6,201.54
6010,75,1,43.35
4949,22,6,166.52
2202,27,3,91.64
1611,34,6,224.99
5706,29,5,152.77
7058,29,4,112.88
2825,25,4,109.14
6879,48,5,194.3
5649,37,4,104.17
2907,54,5,292.51
1143,25,2,47
6137,42,3,118.33
2244,35,7,269.65
6698,43,5,215.86
4011,30,5,208.22
2219,37,9,329.94
2166,42,5,198.77
3957,66,1,48.55
4147,54,2,105.77
3356,47,2,85.35
3793,55,2,115.23
4047,56,6,328.14
4616,38,4,135.73
5634,37,8,290.53
6839,50,2,115.92
4862,64,1,41.16
3141,23,1,33.12
2671,64,1,44.24
3456,32,6,220.88
2370,43,2,89.46
2062,36,5,209.77
2880,32,5,164.59
1184,26,5,148.22
6152,30,8,354.91
4794,36,6,254.27
5022,45,1,42.29
5638,17,1,21.36
4889,57,6,307.77
3231,50,1,53.85
6592,24,5,138.96
1252,35,4,166
4087,25,6,195.12
4885,37,7,252.88
4904,27,4,94.22
7984,57,3,162.64
2287,27,5,161.29
7481,35,10,441.05
6271,67,2,104.38
3662,42,6,267.05
4819,31,9,406.78
7447,29,2,69.21
6502,20,2,63.18
1629,21,5,135.61
6643,35,4,133.64
2971,37,7,199.28
6706,72,1,41.65
3018,55,2,115.07
5078,30,7,236.09
4392,20,5,171.05
5551,34,5,146.65
4804,23,5,159.25
7757,37,3,123.01
2751,20,2,57.84
5854,22,7,224.5
3879,76,4,204.95
1034,29,5,155.86
2641,27,9,220.37
7583,46,5,213.42
2181,39,8,279.57
5970,47,3,120.32
5326,26,4,139.69
7845,43,4,161.04
6131,36,8,345.01
3910,38,6,211.69
5240,17,3,61.18
3887,28,6,188.57
5683,29,7,204.95
7403,39,8,310.25
7238,31,8,340.32
2565,22,7,236.59
4865,39,5,188.48
1165,29,5,132.84
6786,24,3,96.77
3649,38,6,257.96
6446,33,9,319.71
5992,29,4,111.63
5944,26,5,148.28
1307,25,9,288.36
2722,22,5,140.86
4193,23,5,125.42
5072,32,6,185.05
3176,39,10,408.39
3783,37,4,122.34
7179,37,8,233.13
7709,58,2,106.11
2663,37,9,371.79
3053,29,3,79.1
3920,39,5,175.75
2715,34,7,312.19
7175,23,5,161.95
6788,43,3,121.84
7632,49,3,115.9
4129,31,5,145.86
1978,25,6,189.27
5172,29,3,90.73
6441,47,2,79.75
6268,39,5,152.37
3872,23,7,248.04
4962,37,8,239.08
7461,39,3,140.07
5448,46,1,39.98
4469,27,6,209.66
3266,56,3,166.4
6342,26,4,109.3
5071,17,3,71.83
6505,52,3,164.53
4723,70,1,39.83
4242,33,7,233.2
5322,39,5,185.05
3088,26,5,148.63
3051,20,5,141.53
5441,23,5,141.24
4850,53,2,105.29
1630,25,3,88.67
1951,27,6,178.02
4429,39,11,377.75
2756,17,3,57.89
7366,31,12,357.55
5165,74,3,131.61
3945,36,10,323.17
1889,32,6,181.91
5427,19,5,96.94
5654,24,5,115.68
5747,42,6,234.15
4925,20,9,232.48
1964,29,8,226.33
5044,17,1,17.95
1004,35,5,157.41
7896,39,6,212.16
4847,24,7,207.08
4289,36,6,253.88
3947,28,4,128.05
1590,26,5,137.79
1055,67,1,46.5
7159,55,3,159.47
3062,36,5,209.75
2658,34,4,137.59
5928,35,8,322.89
1355,46,3,117.22
4092,32,6,234.72
6092,37,5,160.71
4244,21,3,84.04
4512,17,4,87.36
3171,20,3,84.34
6968,21,7,219.31
1834,34,5,192.12
6646,55,3,167.19
6840,48,3,123.97
2622,58,3,170.24
5399,20,9,242.07
4278,17,3,59
3955,16,3,63.42
1149,41,4,168.25
2237,49,2,84.27
7353,18,3,64.58
7618,75,4,135.86
6298,37,7,215.82
7202,36,9,370.47
6884,34,9,350.88
5575,46,5,212.98
2633,38,7,148.32
2347,30,9,247.36
2384,23,3,89.6
7182,31,7,307.11
7492,64,1,47.86
5682,16,1,19.9
4977,63,3,144.85
3292,50,3,169.25
5969,29,5,146.44
2218,37,9,289.31
1754,29,7,221.9
5691,18,4,90.92
7451,34,8,270.53
6805,33,7,254.14
3268,73,2,85.97
7510,78,2,76.38
4473,31,6,138.42
1664,19,2,36
4521,38,4,126.65
4944,19,3,56.73
7169,32,9,322.34
2548,17,4,68.56
7640,18,3,58.83
6354,32,5,181.2
4824,33,9,211.56
5314,18,1,22.88
5681,17,1,16.79
1494,17,1,20.79
4135,28,5,134.05
2823,37,8,256.29
6355,39,4,162.59
5046,18,2,36.3
6300,52,2,104.2
7884,18,4,93.67
7412,32,3,122.29
7280,24,9,239.72
6472,49,6,242.41
3531,46,3,127.7
6337,72,2,84.32
4101,28,3,89.52
4110,33,5,165.72
5561,36,5,236.3
7554,35,4,123.49
6749,44,6,236
7097,19,1,20.84
1968,39,7,307.6
2845,78,1,41.66
6368,24,2,59.73
1066,19,3,68.84
3963,30,6,261.88
2446,37,7,238.15
6988,36,9,280.22
1282,19,1,22.29
5694,31,9,412.38
4524,25,4,105.78
3151,36,6,222.67
5985,33,6,238.03
5285,57,4,218.12
5168,26,6,168.94
2224,52,2,106.13
2957,33,4,125.34
7061,36,4,134.67
7355,16,5,93.02
5013,54,2,109.82
6699,39,8,235.69
4370,43,5,197.94
7569,39,3,110.31
7701,24,3,70.92
5404,56,3,172.09
6649,32,5,193.73
5640,48,1,41.66
6957,36,5,186
2428,59,1,53.81
1738,26,7,195.87
6508,30,11,397.66
4757,40,4,193.19
3863,34,10,411.45
2611,29,5,140.91
6887,23,6,192.64
2740,32,6,244.17
4647,76,1,44.72
3216,59,3,172.58
4853,53,3,164.29
1627,21,2,64.94
7805,35,4,145.55
1466,31,7,303.93
4231,23,4,122.69
7363,33,5,173.12
4461,37,7,196.67
3087,22,7,181.28
4309,22,5,148.9
5535,25,4,115
6648,16,2,41.29
3889,34,9,276.26
4929,32,9,332.99
4656,46,3,115.32
1425,35,6,273.11
5455,35,4,120.46
7311,33,7,291.17
6057,36,7,211.75
6388,35,9,302.3
3181,20,5,149.43
4993,35,8,299.71
6281,16,2,32
7994,23,8,266.63
3497,36,5,203.24
2145,31,4,190.02
5711,55,3,166.33
7177,31,2,52.57
3728,16,5,80.81
2784,16,2,42.96
6509,30,6,180.03
6759,38,7,283.94
1685,16,2,37.48
2673,37,4,140.38
4607,27,5,135.7
4737,18,2,43.78
4074,37,6,247.23
6146,37,5,175.75
2735,25,3,76.23
3264,22,5,144.77
5012,35,8,356.21
3757,16,3,57.67
7765,25,3,91.29
3249,54,2,103.63
4881,36,6,199.39
4299,22,5,125.7
4347,34,3,98.08
4336,63,2,87.39
1537,36,10,367.4
5911,32,4,89.94
4010,35,8,307.03
6714,33,3,117.11
6953,17,8,130.08
5496,35,5,209.61
1374,64,2,97.62
1759,26,4,129.13
6845,36,5,202.05
5443,23,4,132.7
5375,31,7,249.87
5468,39,6,233.9
1144,31,9,327.71
3693,31,8,191.35
6713,47,7,332.12
5416,31,9,290.39
7945,31,5,225.6
3935,43,6,278.85
2193,39,6,262.74
2339,39,5,197.78
1877,35,5,205.55
3409,35,5,209
2171,24,6,200.04
5860,32,3,100.25
6124,22,10,324.46
2090,22,3,107.14
5104,16,2,37.44
2252,24,5,143.15
4765,39,7,248.2
6098,47,3,150.3
6325,37,8,318.97
5842,39,4,103.98
2532,56,2,114.7
5699,33,6,197.13
4897,22,5,118.72
1701,32,6,171.65
6307,39,7,256.5
5948,44,7,303.53
2459,30,6,222.95
4610,18,1,17.91
6720,36,10,362.38
4005,25,4,120.31
2157,19,2,36.54
2655,72,1,44.71
6960,39,7,210.98
4070,37,4,111.08
5637,35,3,115.86
6672,37,5,207.41
2932,34,1,35.74
